[2024-10-15 16:24:27] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:5000/static/js/main.min.js
[2024-10-15 16:24:27] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:24:27] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:24:27] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:5000/static/js/popper.min.js
[2024-10-15 16:24:27] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:24:27] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:24:27] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:24:27] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:5000/static/js/bootstrap.min.js
[2024-10-15 16:24:27] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:24:27] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:5000/static/js/bootstrap-notify.min.js
[2024-10-15 16:24:27] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:24:27] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:5000/static/js/lyear-loading.js
[2024-10-15 16:24:27] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:5000/static/js/myutils.js
[2024-10-15 16:24:27] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:5000/static/images/background.jpg
[2024-10-15 16:24:27] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:24:27] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:24:27] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:24:27] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:5000/static/favicon.ico
[2024-10-15 16:24:27] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:24:47] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:5000/permissions/query
[2024-10-15 16:24:47] | DEBUG | app.py:print_request_info:56 | 接口请求数据:{"role":1}
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:5000/
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:5000/login
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:5000/static/css/materialdesignicons.min.css
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:5000/static/css/bootstrap.min.css
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:5000/static/css/animate.min.css
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:5000/static/css/style.min.css
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:5000/static/js/jquery.min.js
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:5000/static/js/main.min.js
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:5000/static/js/popper.min.js
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:5000/static/js/bootstrap.min.js
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:5000/static/js/bootstrap-notify.min.js
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:5000/static/js/lyear-loading.js
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:5000/static/js/myutils.js
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:5000/static/images/background.jpg
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:5000/static/favicon.ico
[2024-10-15 16:25:01] | DEBUG | app.py:print_request_info:56 | 接口请求数据:
